region_name,birth_rate,infant_mortality_rate,gdp_per_capita
Afghanistan,40.63,142.48,910
Bahrain,19.02,18.59,19630
Bangladesh,29.9,66.08,2340
Bhutan,34.82,104.68,1690
Brunei,19.68,13.5,24180
Burma,19.15,70.35,2210
Cambodia,27.28,75.94,2080
China,12.96,25.26,6110
East Timor,27.75,50.47,650
Hong Kong,10.71,5.63,35360
India,23.28,59.59,3380
Indonesia,21.49,38.09,4030
Iran,17.23,44.17,8840
Iraq,33.66,55.16,3120
Israel,18.67,7.37,25350
Japan,9.61,3.3,37310
Jordan,23.68,18.86,5590
Kazakhstan,18.36,58.73,9360
North Korea,17.61,25.66,1300
South Korea,12.6,7.31,25480
Kuwait,21.83,10.57,22750
Kyrgyzstan,26.06,75.34,3770
Laos,36.93,88.94,2340
Lebanon,19.68,26.43,6240
Macau,12.07,4.42,24050
Malaysia,23.7,19,11440
Maldives,36.71,60.13,5070
Mongolia,21.39,57.16,2470
Nepal,32.46,70.57,1820
Oman,37.47,21.01,10790
Pakistan,29.59,76.53,2600
Philippines,26.3,24.98,5980
Qatar,15.68,20.03,26130
Russia,10.09,19.51,12610
Saudi Arabia,37.2,47.94,14820
Singapore,12.75,3.57,32760
Sri Lanka,16.12,15.22,4810
Syria,29.54,31.67,4810
Taiwan,12.74,6.65,23400
Tajikistan,32.78,113.43,1690
Thailand,16.37,21.83,9100
Turkey,17.59,44.2,9490
Turkmenistan,28.02,73.17,8710
United Arab Emirates,18.48,15.58,28730
Uzbekistan,26.09,71.51,3380
Vietnam,19.58,30.83,2990
Yemen,43.23,65.02,1040
