sales_date,region,product,customer_type,sales_person_name,sales,products_sold
2014-01-01,West,Staplers,Consumer,Jim,135,1301
2014-01-01,West,Staplers,Consumer,Dwight,192,2181
2014-01-01,West,Staplers,Consumer,Pam,366,4438
2014-01-01,West,Staplers,Consumer,Michael,685,8467
2014-01-01,West,Staplers,Enterprise,Jim,26,286
2014-01-01,West,Staplers,Enterprise,Michael,160,1622
2014-01-01,West,Staplers,Enterprise,Pam,559,7499
2014-01-01,West,Staplers,Enterprise,Dwight,892,12804
2014-01-01,West,Paper,Consumer,Jim,19,702
2014-01-01,West,Paper,Consumer,Michael,273,9450
2014-01-01,West,Paper,Consumer,Dwight,482,12056
2014-01-01,West,Paper,Consumer,Pam,961,22300
2014-01-01,West,Paper,Enterprise,Jim,223,12371
2014-01-01,West,Paper,Enterprise,Dwight,245,15239
2014-01-01,West,Paper,Enterprise,Michael,362,13996
2014-01-01,West,Paper,Enterprise,Pam,736,27551
2014-01-01,South,Staplers,Consumer,Dwight,496,4651
2014-01-01,South,Staplers,Consumer,Michael,524,4720
2014-01-01,South,Staplers,Consumer,Jim,574,5517
2014-01-01,South,Staplers,Consumer,Pam,872,11467
2014-01-01,South,Staplers,Enterprise,Jim,548,5721
2014-01-01,South,Staplers,Enterprise,Michael,679,8727
2014-01-01,South,Staplers,Enterprise,Dwight,699,11636
2014-01-01,South,Staplers,Enterprise,Pam,949,13078
2014-01-01,South,Paper,Consumer,Dwight,306,14209
2014-01-01,South,Paper,Consumer,Jim,864,25446
2014-01-01,South,Paper,Consumer,Pam,891,21515
2014-01-01,South,Paper,Consumer,Michael,926,28376
2014-01-01,South,Paper,Enterprise,Jim,44,2334
2014-01-01,South,Paper,Enterprise,Dwight,944,87485
2014-01-01,South,Paper,Enterprise,Pam,956,46655
2014-01-01,South,Paper,Enterprise,Michael,992,39321
2014-01-01,North,Staplers,Consumer,Pam,11,110
2014-01-01,North,Staplers,Consumer,Michael,475,3976
2014-01-01,North,Staplers,Consumer,Jim,568,5184
2014-01-01,North,Staplers,Consumer,Dwight,820,9471
2014-01-01,North,Staplers,Enterprise,Jim,206,2533
2014-01-01,North,Staplers,Enterprise,Dwight,535,6094
2014-01-01,North,Staplers,Enterprise,Pam,803,11097
2014-01-01,North,Staplers,Enterprise,Michael,853,10452
2014-01-01,North,Paper,Consumer,Pam,18,730
2014-01-01,North,Paper,Consumer,Dwight,83,2166
2014-01-01,North,Paper,Consumer,Michael,613,20836
2014-01-01,North,Paper,Consumer,Jim,949,49591
2014-01-01,North,Paper,Enterprise,Michael,364,26368
2014-01-01,North,Paper,Enterprise,Pam,740,31209
2014-01-01,North,Paper,Enterprise,Jim,754,68897
2014-01-01,North,Paper,Enterprise,Dwight,773,43624
2014-01-01,East,Staplers,Consumer,Dwight,40,429
2014-01-01,East,Staplers,Consumer,Jim,104,1134
2014-01-01,East,Staplers,Consumer,Pam,356,3697
2014-01-01,East,Staplers,Consumer,Michael,697,7102
2014-01-01,East,Staplers,Enterprise,Michael,192,2317
2014-01-01,East,Staplers,Enterprise,Jim,676,9024
2014-01-01,East,Staplers,Enterprise,Dwight,764,11590
2014-01-01,East,Staplers,Enterprise,Pam,784,8368
2014-01-01,East,Paper,Consumer,Jim,125,3040
2014-01-01,East,Paper,Consumer,Michael,645,21762
2014-01-01,East,Paper,Consumer,Pam,899,29530
2014-01-01,East,Paper,Consumer,Dwight,914,26537
2014-01-01,East,Paper,Enterprise,Jim,535,16867
2014-01-01,East,Paper,Enterprise,Michael,713,34372
2014-01-01,East,Paper,Enterprise,Pam,957,35479
2014-01-01,East,Paper,Enterprise,Dwight,987,49622
2014-02-01,West,Staplers,Consumer,Jim,132,1344
2014-02-01,West,Staplers,Consumer,Dwight,192,2181
2014-02-01,West,Staplers,Consumer,Pam,417,4433
2014-02-01,West,Staplers,Consumer,Michael,685,8609
2014-02-01,West,Staplers,Enterprise,Jim,28,461
2014-02-01,West,Staplers,Enterprise,Michael,158,2717
2014-02-01,West,Staplers,Enterprise,Pam,503,5398
2014-02-01,West,Staplers,Enterprise,Dwight,936,12319
2014-02-01,West,Paper,Consumer,Jim,17,672
2014-02-01,West,Paper,Consumer,Michael,300,7751
2014-02-01,West,Paper,Consumer,Dwight,424,12498
2014-02-01,West,Paper,Consumer,Pam,826,22228
2014-02-01,West,Paper,Enterprise,Dwight,210,15036
2014-02-01,West,Paper,Enterprise,Jim,243,14586
2014-02-01,West,Paper,Enterprise,Michael,390,16459
2014-02-01,West,Paper,Enterprise,Pam,706,23877
2014-02-01,South,Staplers,Consumer,Jim,487,5292
2014-02-01,South,Staplers,Consumer,Michael,513,5316
2014-02-01,South,Staplers,Consumer,Dwight,515,4957
2014-02-01,South,Staplers,Consumer,Pam,933,8742
2014-02-01,South,Staplers,Enterprise,Michael,583,7484
2014-02-01,South,Staplers,Enterprise,Jim,619,8154
2014-02-01,South,Staplers,Enterprise,Dwight,782,12815
2014-02-01,South,Staplers,Enterprise,Pam,835,9329
2014-02-01,South,Paper,Consumer,Dwight,278,7499
2014-02-01,South,Paper,Consumer,Michael,796,18865
2014-02-01,South,Paper,Consumer,Jim,820,41689
2014-02-01,South,Paper,Consumer,Pam,891,47226
2014-02-01,South,Paper,Enterprise,Jim,47,1747
2014-02-01,South,Paper,Enterprise,Pam,889,45439
2014-02-01,North,Staplers,Consumer,Pam,11,115
2014-02-01,North,Staplers,Consumer,Michael,479,3773
2014-02-01,North,Staplers,Consumer,Jim,562,5320
2014-02-01,North,Staplers,Consumer,Dwight,852,10356
2014-02-01,North,Staplers,Enterprise,Jim,210,2486
2014-02-01,North,Staplers,Enterprise,Dwight,556,7255
2014-02-01,North,Staplers,Enterprise,Pam,923,12752
2014-02-01,North,Staplers,Enterprise,Michael,980,11902
2014-02-01,North,Paper,Consumer,Pam,15,695
2014-02-01,North,Paper,Consumer,Dwight,83,2882
2014-02-01,North,Paper,Consumer,Michael,643,24987
2014-02-01,North,Paper,Consumer,Jim,882,44307
2014-02-01,North,Paper,Enterprise,Michael,316,16242
2014-02-01,North,Paper,Enterprise,Dwight,773,40470
2014-02-01,North,Paper,Enterprise,Pam,784,38396
