host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost
27280608,Petra,2015-02-05,0.82,0.93,f
30039084,Christiaan,2015-03-26,1,1,f
5159981,Gerrit,2013-02-20,,,f
34887518,Tamara,2015-06-03,1,0.93,f
20393437,Nadia,2014-08-22,1,1,f
19765075,JLarry,2014-08-10,0.74,0.97,f
12839939,Astrid,2014-03-05,0.9,1,f
15770150,Bene,2014-05-20,1,0.93,f
19765075,JLarry,2014-08-10,0.74,0.97,f
22670971,Ara,2014-10-18,0.7,0.8,f
38310525,Kim,2015-07-13,1,1,f
36953379,Mark,2015-06-28,0.9,1,f
34999599,Sietse,2015-06-04,0.44,1,f
1271678,Andrea,2011-10-10,1,1,f
19765075,JLarry,2014-08-10,0.74,0.97,f
13473450,Anna,2014-03-24,1,,f
19765075,JLarry,2014-08-10,0.74,0.97,f
16567328,Thea,2014-06-09,1,1,f
12839939,Astrid,2014-03-05,0.9,1,f
23023786,Robert,2014-10-27,1,0.93,f
27800005,Edzo,2015-02-15,1,0.95,f
18991270,Maria,2014-07-27,0.6,1,f
2802365,Laurens,2012-07-02,,,f
1122647,Jeannette,2011-09-07,0.88,1,f
16176192,Eli,2014-05-30,0.8,0.5,f
13381627,Dezwartekat,2014-03-21,1,1,f
36822577,Majette,2015-06-26,1,0.94,f
24060635,Paul,2014-11-23,0.75,1,f
9048074,Pierre,2013-09-25,1,0.8,f
2890904,Esther,2012-07-10,0.9,0.77,f
40017326,Gabrielle,2015-07-30,0.13,1,f
21634661,Patricia,2014-09-22,0.88,0.78,f
32508365,Myrna & Raymond,2015-05-03,1,0.67,f
32294984,Roger,2015-04-30,1,0.75,f
36822577,Majette,2015-06-26,1,0.94,f
29915748,Femke,2015-03-24,,,f
3327797,Myra,2012-08-21,1,0.18,f
6199288,Yvonne,2013-05-02,1,0.91,f
9110671,Ana,2013-09-28,1,1,f
19768980,Georgette,2014-08-10,0.91,1,f
19768980,Georgette,2014-08-10,0.91,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
11969034,Raul,2014-02-05,1,1,t
6330747,Ronny,2013-05-11,0.9,0.83,f
7371529,Siem,2013-07-09,0.8,1,f
29591818,Frans,2015-03-18,1,0.92,f
24350341,Harold,2014-12-01,1,0.86,f
2911119,Liesbeth,2012-07-12,0.8,1,f
16626677,Kees,2014-06-10,1,0.5,f
9830464,Lotte,2013-11-05,1,0.5,f
11353515,Fabian,2014-01-16,0.8,1,f
9261270,Jossien,2013-10-06,,,f
17376998,Jan,2014-06-28,1,1,f
3006640,D&B Host,2012-07-21,0.9,0.87,f
14076195,Elke,2014-04-09,0.88,0.67,f
3966217,Arnout,2012-10-24,0.78,1,f
337655,Jaap & Kim,2011-01-06,0.94,0.75,f
5800745,Vincent,2013-04-06,0.78,0.75,f
29591818,Frans,2015-03-18,1,0.92,f
7259166,Mirjam,2013-07-03,0.9,0.92,t
7736832,Robert,2013-07-26,0.9,1,f
3040748,Henk,2012-07-24,1,0.95,f
17818756,Peter,2014-07-08,1,,f
4013546,Xiong,2012-10-30,1,1,f
36822577,Majette,2015-06-26,1,0.94,f
17927072,Mi,2014-07-10,1,1,f
12018031,Marjolein & Ernst,2014-02-07,1,1,f
19794594,Lauran & Sanne,2014-08-10,0.5,1,f
3040748,Henk,2012-07-24,1,0.95,f
17006203,Mirjam,2014-06-19,1,0,f
34640268,Berber,2015-05-31,1,1,f
3040748,Henk,2012-07-24,1,0.95,f
224275,Arnoud,2010-09-05,1,1,f
4013546,Xiong,2012-10-30,1,1,f
19768980,Georgette,2014-08-10,0.91,1,f
33887116,John,2015-05-21,0.73,0.94,f
4386675,Amsterdam,2012-12-12,0.5,1,f
13861116,August,2014-04-03,0.97,0.95,f
6604622,Charlotte,2013-05-27,0.75,1,f
13060291,Aletta,2014-03-12,1,1,t
4682602,Lia,2013-01-13,1,0.71,t
42858237,Ronella,2015-08-29,,,f
10358685,Annette,2013-12-01,,,f
5689155,Lotte,2013-03-30,0.9,1,f
38633025,Joy,2015-07-16,0.5,0,f
40342277,Ryadh,2015-08-03,0.4,1,f
11117054,Edmee,2014-01-08,1,1,f
17078793,Ilja,2014-06-21,1,1,t
10507416,Reto & Tania,2013-12-08,1,1,f
15756422,Marijke,2014-05-20,1,1,f
11944049,Maik,2014-02-04,0.97,0.95,f
26981073,Tjoet,2015-01-31,0.94,1,f
13949901,Afina,2014-04-06,1,,f
14870124,Sandra,2014-04-29,0.9,0.5,f
30593666,Trevelbadi,2015-04-04,0.7,0.88,f
22233513,Jeroen,2014-10-07,1,1,f
4781137,Joke,2013-01-20,1,0.88,f
14048336,Timon,2014-04-08,,,f
25578633,Benjamin,2015-01-04,1,1,f
689724,Eva & Bernard,2011-06-11,1,1,f
15862404,Pamela,2014-05-22,1,1,f
3175612,Mara,2012-08-06,1,0.56,f
24180541,Liesbeth,2014-11-26,1,0.43,f
4682602,Lia,2013-01-13,1,0.71,t
4446371,Edwin,2012-12-19,1,1,f
4615590,Marta,2013-01-07,1,1,f
6971809,Dorien,2013-06-18,0.83,0.33,f
27821823,Daphne,2015-02-16,1,,f
14837629,Simone,2014-04-28,0.92,0.47,f
11198361,Maaike,2014-01-11,0.9,0.4,f
3684584,Florian,2012-09-26,0.58,0.77,f
14760430,Alper,2014-04-26,0.94,0.83,f
4979621,Jorrit&Dirk,2013-02-05,1,0.99,f
4720967,Remy,2013-01-16,0.56,,f
24614297,Quinn,2014-12-08,0.93,0.96,f
39995537,Claudia,2015-07-30,0.83,1,f
15054166,Tesse,2014-05-03,1,1,f
20919943,Ellen,2014-09-04,1,0.95,f
3895097,Jill,2012-10-16,0.7,1,f
15822709,Frank,2014-05-21,0.9,1,f
10892406,Miluska,2013-12-29,0.8,1,f
26294656,Peter En Katja,2015-01-18,1,1,f
38633025,Joy,2015-07-16,0.5,0,f
4816887,Isim,2013-01-23,1,0.33,f
29621807,Maurice,2015-03-19,0.8,1,f
6945968,Wouter,2013-06-16,0.89,1,f
4235222,Marc,2012-11-25,0.98,1,f
3375589,Fred Alexander,2012-08-26,1,1,f
8236804,Elien,2013-08-18,1,0.73,f
5590622,Nicola&Akiko,2013-03-23,1,1,f
6253175,Karin,2013-05-06,1,0.88,f
37470201,Galina,2015-07-04,0.95,0.95,f
4682602,Lia,2013-01-13,1,0.71,t
6369942,Anne,2013-05-13,0.8,1,f
35770841,Elin,2015-06-14,0.8,1,f
22858016,Carmen,2014-10-22,0.97,0.83,f
4615590,Marta,2013-01-07,1,1,f
37470201,Galina,2015-07-04,0.95,0.95,f
3188453,Mark,2012-08-07,1,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
922728,Masoom,2011-08-04,1,1,f
6559278,Sandra,2013-05-24,1,1,t
4781137,Joke,2013-01-20,1,0.88,f
17417943,Marieke,2014-06-29,0.8,1,f
36610500,Leon,2015-06-24,0.83,1,f
33645148,Bo &,2015-05-18,1,0.97,t
12693120,Elles,2014-03-01,1,1,f
16454384,Roos,2014-06-06,0.6,1,f
11944049,Maik,2014-02-04,0.97,0.95,f
19801139,Vanessa,2014-08-10,0.6,0.5,f
13270719,Igor,2014-03-18,1,0.75,f
12069700,Edwin,2014-02-09,1,0.75,f
9988208,Erik,2013-11-13,0.71,0,f
36025288,Olga,2015-06-17,1,0.94,f
8817734,Nienke & Gert,2013-09-13,1,0.95,f
37203380,Simonetta,2015-07-01,1,,f
34245670,Martijn,2015-05-26,1,0.67,f
4781137,Joke,2013-01-20,1,0.88,f
32276005,Zita,2015-04-30,1,1,t
9590018,The Old Bath House,2013-10-23,1,1,f
26981073,Tjoet,2015-01-31,0.94,1,f
11944049,Maik,2014-02-04,0.97,0.95,f
14144043,Ingrid,2014-04-11,0.9,0.63,f
20402807,Freek En Mariette,2014-08-22,1,1,f
6478595,Sanne,2013-05-20,1,1,f
11944049,Maik,2014-02-04,0.97,0.95,f
11944049,Maik,2014-02-04,0.97,0.95,f
4615590,Marta,2013-01-07,1,1,f
6559278,Sandra,2013-05-24,1,1,t
4682602,Lia,2013-01-13,1,0.71,t
11944049,Maik,2014-02-04,0.97,0.95,f
33043121,Gulsen,2015-05-10,1,1,f
17314787,Eva,2014-06-27,,,f
40803322,Kristoffer,2015-08-07,1,1,f
2336797,Adam,2012-05-10,,,f
9849176,Flow & Dan,2013-11-06,,,f
8236804,Elien,2013-08-18,1,0.73,f
4781137,Joke,2013-01-20,1,0.88,f
22523750,Richard & Martine,2014-10-14,1,1,f
18404814,Audrey,2014-07-19,0.88,0.33,f
18823161,Marion,2014-07-24,1,0.94,f
42564954,Florus,2015-08-26,1,1,f
4922720,Angela,2013-01-31,0.7,0.5,f
38276545,Claudia,2015-07-12,1,1,f
21831151,Faralda,2014-09-27,1,1,f
2674028,Taco,2012-06-18,0.98,1,f
11076941,Bart,2014-01-06,1,0,f
3161641,Chris,2012-08-05,1,0.78,f
7335058,Nelleke + Henk,2013-07-07,1,1,f
7050970,Dominique,2013-06-22,1,,t
24697572,Mil,2014-12-10,1,1,f
5220793,Greke,2013-02-25,1,1,f
31797798,M&M,2015-04-23,1,1,f
33181456,E,2015-05-12,0.97,1,f
12593174,Laura,2014-02-26,,,f
2923133,Marie,2012-07-13,0.5,0.5,f
2674028,Taco,2012-06-18,0.98,1,f
40952919,Giulia,2015-08-09,0.5,0.67,f
5541630,Hali,2013-03-20,1,0.95,f
5541630,Hali,2013-03-20,1,0.95,f
33181456,E,2015-05-12,0.97,1,f
3327797,Myra,2012-08-21,1,0.18,f
42995855,Viviana,2015-08-31,,,f
11657194,Nathalie,2014-01-26,0.89,1,f
2868026,Emer,2012-07-08,0.5,,f
29933147,Waterworld,2015-03-24,1,0.99,f
17631636,Aryeh,2014-07-04,0.56,1,f
9646252,Herman,2013-10-26,,,f
38002041,Art,2015-07-09,0.93,1,f
5646154,Reinhart,2013-03-27,1,0.94,f
29647728,Nancy,2015-03-19,1,1,t
17461928,Maura & Camille,2014-06-30,1,1,f
12488849,Toon En Margreet,2014-02-23,1,1,t
15982543,Wouter,2014-05-26,0.9,0.8,f
16278545,Wout,2014-06-02,0.67,1,f
4615590,Marta,2013-01-07,1,1,f
4841215,Francy,2013-01-25,0.8,1,f
33738709,Kenny,2015-05-19,0.97,1,f
12693120,Elles,2014-03-01,1,1,f
23696275,Martijn,2014-11-13,0.83,1,f
7393841,Dymphna,2013-07-10,1,1,f
2209324,Letty,2012-04-24,,,f
6909387,Tjeerd,2013-06-14,1,1,t
7574659,Guido,2013-07-18,1,0.93,f
1324659,Femke,2011-10-23,1,1,f
7220997,Anna&Marnix,2013-07-01,1,1,f
9064219,Harold,2013-09-26,,,f
5617718,Sandra,2013-03-25,1,1,f
14591874,Genevieve,2014-04-22,0.9,0.86,f
5093231,Suzy En Anthony,2013-02-15,1,,f
21831151,Faralda,2014-09-27,1,1,f
8487114,Welcome2Amsterdam,2013-08-28,,,f
41127483,Lennart,2015-08-11,0.5,,f
24971938,Fione,2014-12-18,,,f
4056090,Jeroen,2012-11-04,1,0.94,f
10958820,Marijke,2014-01-02,0.8,0.33,f
3327797,Myra,2012-08-21,1,0.18,f
8295656,Duran,2013-08-21,0.85,0.5,f
7191567,Joshua,2013-06-30,0.99,0.43,f
19884804,Hillie,2014-08-12,1,1,f
2550721,Helen,2012-06-05,0.59,0.95,f
22788969,Esther,2014-10-21,1,1,f
9571070,Thom,2013-10-22,0.89,0.45,f
21811408,Tessa,2014-09-26,0.83,1,f
17548451,Silvia,2014-07-02,1,1,t
38307720,Anna,2015-07-13,1,1,f
12788265,Bart,2014-03-04,1,1,f
35686931,Lukas,2015-06-13,0.5,1,f
6977478,Joeri,2013-06-18,1,1,f
2554245,Bennie,2012-06-05,0.78,0,f
1272239,Vanya,2011-10-10,1,1,f
43090617,Harry,2015-09-01,,,f
6536417,Wanka,2013-05-23,1,1,f
25156332,Merel,2014-12-24,,,f
12916248,Vera,2014-03-08,1,0,f
2908962,Mamereke,2012-07-11,0.6,0.8,f
28301222,Rosa,2015-02-24,1,1,f
2762857,Ccilia,2012-06-27,,,f
19776078,Anne,2014-08-10,1,1,f
15822324,Stefan,2014-05-21,1,1,f
21831151,Faralda,2014-09-27,1,1,f
1319932,Micha,2011-10-21,1,1,f
2498713,Minke,2012-05-30,0.7,1,f
10739626,Tessa,2013-12-21,1,1,t
12114555,Simone & Olivier,2014-02-10,0.33,1,f
11371482,Irene,2014-01-16,0.86,0.61,f
6739095,Martine,2013-06-04,0.6,0.67,f
29425470,Maartje,2015-03-16,1,1,f
7191567,Joshua,2013-06-30,0.99,0.43,f
7829004,Martijn,2013-07-30,1,1,f
6977478,Joeri,2013-06-18,1,1,f
12979522,Linda,2014-03-10,0.52,0.95,f
7191567,Joshua,2013-06-30,0.99,0.43,f
31840051,Liselotte,2015-04-24,1,0.75,f
20261005,Liset,2014-08-19,1,1,f
8237808,Alex,2013-08-18,0.9,1,f
10344723,Marc,2013-11-30,1,1,f
26910781,Iringo,2015-01-29,,,f
38008266,Lois,2015-07-09,1,0.75,f
38085160,Ruby Anne,2015-07-10,1,1,f
31478238,Kiki,2015-04-18,0.67,0.91,f
1570754,Janet,2012-01-05,1,1,f
6483256,Nienke,2013-05-20,0.71,0.5,f
19818249,Marieke,2014-08-11,1,1,t
17728329,Faye,2014-07-06,0.92,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
5541630,Hali,2013-03-20,1,0.95,f
7194259,Rudi,2013-06-30,1,0.87,f
29645081,Nina,2015-03-19,,,f
22705731,Shira,2014-10-19,0.8,0.38,f
5541630,Hali,2013-03-20,1,0.95,f
2427338,Felicia,2012-05-21,0.93,0.87,f
42659682,Wimke,2015-08-27,,,f
31797798,M&M,2015-04-23,1,1,f
11371482,Irene,2014-01-16,0.86,0.61,f
5541630,Hali,2013-03-20,1,0.95,f
33227590,Jaap,2015-05-12,1,1,f
41228725,Jeen,2015-08-12,0.89,0.7,f
6595181,Danny,2013-05-27,,,f
3605964,Cecilia,2012-09-18,,,f
7676762,Andrea,2013-07-23,1,,f
9412285,Ana,2013-10-14,1,1,f
10756160,Laura,2013-12-22,0.8,1,f
3327797,Myra,2012-08-21,1,0.18,f
8035833,Arno,2013-08-08,1,0.55,f
2023097,Peter,2012-03-28,0.7,0.88,f
6305149,Anne,2013-05-09,0.6,0.56,f
23171451,Jan J.,2014-10-31,0.6,1,f
28755653,Adriaan,2015-03-04,0.6,0.75,f
5320937,Rob & Jolanda,2013-03-04,1,1,t
4619051,Dennis,2013-01-07,0.96,0.88,f
23301859,Henk,2014-11-03,1,1,f
18998986,Marc,2014-07-27,1,1,f
19207942,Peter,2014-07-31,1,,f
7191567,Joshua,2013-06-30,0.99,0.43,f
38776185,Dani,2015-07-17,0.96,0.79,f
1493495,Tinda,2011-12-11,0.76,0.36,f
19019597,Joris,2014-07-28,,,f
21766978,Liv,2014-09-25,1,1,f
33738709,Kenny,2015-05-19,0.97,1,f
13100971,Yasmin,2014-03-13,1,1,f
23173595,Stefany,2014-10-31,1,0.6,f
8487114,Welcome2Amsterdam,2013-08-28,,,f
5541630,Hali,2013-03-20,1,0.95,f
7493597,Mirjam,2013-07-15,1,0.36,t
3921447,Goof,2012-10-19,1,1,f
12886688,Hans,2014-03-07,1,1,f
30118557,Rowan,2015-03-27,1,1,f
33340462,Leny,2015-05-14,0.8,1,f
9556682,Marleen,2013-10-21,1,0.8,f
12761057,Pim,2014-03-03,0.95,1,f
3545308,Ingram,2012-09-12,1,1,f
3327797,Myra,2012-08-21,1,0.18,f
5330753,Rene & Ellen,2013-03-05,1,1,f
651724,Marco,2011-06-01,1,1,f
20995157,Esther,2014-09-06,0.76,1,f
7770066,Paul,2013-07-28,1,0.99,f
4629358,Filine,2013-01-08,0.9,1,f
37514840,Nadir,2015-07-04,1,1,f
2427338,Felicia,2012-05-21,0.93,0.87,f
12168785,Jacomien,2014-02-12,1,1,t
25422214,John,2014-12-31,1,1,t
35696928,Jaap En Corrien,2015-06-13,1,1,f
39503013,Luciano,2015-07-25,0.85,1,f
5824076,Lotje,2013-04-08,,,f
4386695,Djim,2012-12-12,0.93,0.92,f
7504273,Roel,2013-07-15,0.8,1,f
33340462,Leny,2015-05-14,0.8,1,f
3314075,Kees,2012-08-20,0.9,1,f
10792478,Theya & Marjan,2013-12-24,0.8,1,f
29454223,Arnout,2015-03-16,0.8,0.73,f
30118557,Rowan,2015-03-27,1,1,f
34057696,Belinda,2015-05-23,1,0.33,f
3327797,Myra,2012-08-21,1,0.18,f
34919444,Sheila,2015-06-03,0.95,1,f
23822230,Thomas,2014-11-16,0.8,1,f
4434318,Kirsten,2012-12-18,0.78,1,f
19879540,Ineke,2014-08-12,0.08,0.71,f
1406783,Alicia,2011-11-14,1,1,f
12599696,Michiel,2014-02-26,1,0.94,t
16791039,Katharina,2014-06-14,1,1,f
9064219,Harold,2013-09-26,,,f
16854610,Petra,2014-06-16,1,0.78,f
42357434,Ivon,2015-08-24,,,f
17674471,Harm,2014-07-05,1,0.97,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
4638813,Pascal,2013-01-09,1,1,f
3423680,Janneke,2012-08-30,1,1,f
17674471,Harm,2014-07-05,1,0.97,f
18055252,Fenna,2014-07-13,,,f
23769798,Jerome,2014-11-15,1,1,t
4893946,Matthijs,2013-01-29,,,f
34442851,Werner,2015-05-28,0.9,1,f
29381302,Zita,2015-03-15,1,,f
11538527,Willemijn,2014-01-22,1,0.98,f
28762057,Chris,2015-03-04,,,f
5827869,Kick,2013-04-08,1,1,f
5320937,Rob & Jolanda,2013-03-04,1,1,t
30213385,Pauline,2015-03-29,,,f
22705731,Shira,2014-10-19,0.8,0.38,f
15424013,Onno En Inez,2014-05-12,,1,f
19884915,Ryan,2014-08-12,0.53,1,f
1266717,Nanne & Nick (Key-BnB),2011-10-09,0.92,0.94,f
3327797,Myra,2012-08-21,1,0.18,f
16539213,Laura,2014-06-08,1,1,f
6190298,Erik,2013-05-02,1,1,f
17635284,Michelle,2014-07-04,0.75,1,f
35627251,Jelger,2015-06-12,0.75,1,f
12363791,Jonas,2014-02-18,0.9,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
7770066,Paul,2013-07-28,1,0.99,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
33755187,Vivian,2015-05-19,1,1,f
33016739,Jan Hein,2015-05-10,0.83,1,f
16818605,Johanna,2014-06-15,,,f
39503013,Luciano,2015-07-25,0.85,1,f
6911272,Samantha,2013-06-14,1,0.5,f
17116018,Paul,2014-06-22,1,1,f
29933147,Waterworld,2015-03-24,1,0.99,f
7770066,Paul,2013-07-28,1,0.99,f
3327797,Myra,2012-08-21,1,0.18,f
16231363,Barbara,2014-06-01,,,f
4619051,Dennis,2013-01-07,0.96,0.88,f
7679635,Remy,2013-07-23,0.89,0.26,f
17539973,Eva,2014-07-02,0.86,0.52,f
38763676,Gerard,2015-07-17,1,1,f
4602409,Kippy,2013-01-06,0.72,0.93,f
10122423,Mm,2013-11-19,0.5,1,f
5646154,Reinhart,2013-03-27,1,0.94,f
37129706,Jol,2015-06-30,,,f
25696665,Charel,2015-01-06,1,1,f
8163341,Ana,2013-08-14,1,0.95,f
37226763,Nemo,2015-07-01,1,1,f
26945417,Ray,2015-01-30,0.15,0.98,f
16576398,Daniela,2014-06-09,0.92,1,f
5330753,Rene & Ellen,2013-03-05,1,1,f
16705090,Heleen,2014-06-12,1,0,f
38776185,Dani,2015-07-17,0.96,0.79,f
4615590,Marta,2013-01-07,1,1,f
28546764,Annemieke,2015-03-01,0.6,0.5,f
23424476,Annie,2014-11-06,0.9,0.8,f
1303153,Barbara,2011-10-17,1,,f
30833452,Binkie,2015-04-08,1,1,f
26357976,Andrea,2015-01-19,1,1,f
11371482,Irene,2014-01-16,0.86,0.61,f
8360462,Erik,2013-08-24,1,0.93,f
41698073,Victor,2015-08-17,,1,f
21831151,Faralda,2014-09-27,1,1,f
17586149,Natalia,2014-07-03,0.56,1,f
24702118,Pam,2014-12-10,1,0.94,t
25745744,Jolanda,2015-01-07,0.99,0.94,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
40569816,Patricia,2015-08-05,,,f
201541,Floor,2010-08-14,0.7,0.6,f
38266243,Y,2015-07-12,0.8,0.86,f
7594884,Duco,2013-07-19,0.91,1,f
6053012,Helene,2013-04-23,1,1,f
3545308,Ingram,2012-09-12,1,1,f
7072401,Judith,2013-06-23,1,0.82,f
3545308,Ingram,2012-09-12,1,1,f
40959150,Kees,2015-08-09,0.87,1,f
6302356,Khalid,2013-05-09,0.6,0.69,f
11413756,Laura & Christian,2014-01-18,0.73,0.78,f
17379847,Irene,2014-06-28,0.95,0.83,f
9266156,Suzanne,2013-10-06,1,0.5,f
38913773,Simeon,2015-07-19,1,0.5,f
8669481,Emma,2013-09-06,1,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
17357401,Janke,2014-06-28,1,1,t
39021847,Nikky,2015-07-20,1,1,f
6078388,Rebecca,2013-04-24,0.92,1,f
5883246,Frances,2013-04-11,1,0.94,f
7111638,Mariska,2013-06-25,,,f
7072401,Judith,2013-06-23,1,0.82,f
5646154,Reinhart,2013-03-27,1,0.94,f
5314823,Arjan,2013-03-04,0.8,1,f
22837110,Paul,2014-10-22,1,1,f
1310856,Sander,2011-10-19,1,0.4,f
4569793,Frank,2013-01-03,1,0.8,f
12600682,Merel,2014-02-26,0.1,1,f
9598082,Stefan,2013-10-23,1,1,f
40179966,Marlies,2015-08-01,0.96,1,f
5794965,Hergen,2013-04-06,1,1,f
6834956,Jolande & Chris,2013-06-10,0.9,1,f
9133729,Henk,2013-09-30,1,1,t
25745744,Jolanda,2015-01-07,0.99,0.94,f
15504079,Jeroen,2014-05-14,0.76,0.73,f
7588539,Richard,2013-07-19,1,0.9,f
41228725,Jeen,2015-08-12,0.89,0.7,f
2114605,Sabrina,2012-04-11,1,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
13681251,Michle,2014-03-30,0.92,1,t
6921503,Monty,2013-06-15,0.73,1,f
5994388,Yvonne,2013-04-19,0.56,0.75,f
5320937,Rob & Jolanda,2013-03-04,1,1,t
7945986,Carlijne,2013-08-05,0.9,0.83,f
2835555,Moni & Nicolai,2012-07-05,0.8,0.25,f
21180480,Janne,2014-09-10,0.8,,f
9883434,Dirk,2013-11-08,0.6,1,f
7110955,UrbanCampsiteAmsterdam,2013-06-25,0.95,1,f
5878526,Petra,2013-04-11,1,1,t
1491222,Tatjana & Rogier,2011-12-10,1,1,f
7191567,Joshua,2013-06-30,0.99,0.43,f
4438341,Neletta,2012-12-18,1,1,f
3040855,Michael,2012-07-24,0.98,1,f
5121684,Zita,2013-02-17,0.95,0.67,f
18558900,Margaux,2014-07-21,1,0,f
16804508,Mimi,2014-06-15,1,1,f
32891825,Anne Marthe,2015-05-08,0.5,1,f
37990208,Cynthia,2015-07-09,0.8,0.78,f
5997479,Andrea,2013-04-19,1,1,f
14392395,Kenzo,2014-04-17,1,0.75,f
31568045,Monique,2015-04-20,1,0.83,f
6192186,Marije,2013-05-02,1,0.86,f
12071722,Ineke,2014-02-09,1,,f
11225917,Flvio,2014-01-12,1,1,f
329249,Emmett,2010-12-28,1,1,f
21029354,Ana,2014-09-07,1,1,f
3253657,Lina,2012-08-14,0.9,1,f
7559708,Sophia,2013-07-18,1,1,t
3040855,Michael,2012-07-24,0.98,1,f
3040855,Michael,2012-07-24,0.98,1,f
38674340,Louis,2015-07-16,0.6,0.71,f
37250610,Raisa,2015-07-01,1,1,f
41458572,Janet,2015-08-14,1,0.67,f
7110955,UrbanCampsiteAmsterdam,2013-06-25,0.95,1,f
10049567,Renata,2013-11-16,,,f
18197006,Pien,2014-07-16,0.83,,f
