id,listing_url,name,host_id,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,reviews_per_month,borough,english_translation,population,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bookings_per_month,high_availability
6873473,https://www.airbnb.com/rooms/6873473,Amsterdam Zimmer fr 2,27280608,"Grubbehoeve, Amsterdam, holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,holland,1103,Netherlands,52.32236611,4.972838389,Apartment,Private room,2,1,1,1,Real Bed,60,,,,,1,35,1,1125,350,1.27,Zuidoost,Southeast Amsterdam,83743,3,2015-06-26,2015-07-06,87,9,10,9,10,9,9,2.54,true
7131573,https://www.airbnb.com/rooms/7131573,"Bright room, green park, arty flat!",30039084,"Gouden Leeuw, Amsterdam Zuid-Oost, Noord-Holland 1103 KX, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103 KX,Netherlands,52.32466336,4.974472865,Apartment,Private room,4,1,1,2,Real Bed,62,415,1460,,10,2,5,1,1125,46,7.5,Zuidoost,Southeast Amsterdam,83743,15,2015-07-07,2015-08-26,89,9,10,10,10,9,9,15,false
1236080,https://www.airbnb.com/rooms/1236080,Studio Diemerbos,5159981,"Geerdinkhof, Amsterdam-Zuidoost, North Holland 1103 RK, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103 RK,Netherlands,52.32689147,4.980092559,Apartment,Private room,2,1,1,1,Real Bed,105,,,,10,1,0,1,1125,89,,Zuidoost,Southeast Amsterdam,83743,0,,,,,,,,,,,false
6664829,https://www.airbnb.com/rooms/6664829,Your spot of paradise in Amsterdam!,34887518,"Kantershof, Amsterdam Zuid-Oost, Noord-Holland 1104 GL, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1104 GL,Netherlands,52.32042006,4.990763723,House,Private room,2,1.5,1,1,Real Bed,49,,,,15,1,0,1,1125,330,6.07,Zuidoost,Southeast Amsterdam,83743,17,2015-06-12,2015-08-30,84,9,10,10,10,8,9,12.14,true
3951418,https://www.airbnb.com/rooms/3951418,"cute clean room for rent!! ",20393437,"Groeneveen, Amsterdam-Zuidoost, North Holland 1103 EK, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103 EK,Netherlands,52.32018744,4.974145263,Apartment,Private room,2,1,1,2,Real Bed,36,,,,,1,16,1,2,250,1.79,Zuidoost,Southeast Amsterdam,83743,22,2014-09-01,2015-08-24,90,9,10,10,10,8,9,3.58,true
6117693,https://www.airbnb.com/rooms/6117693,Relax Room + Wifi,19765075,"Harrit Freezerstraat, Amsterdam Zuid-Oost, Noord-Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103,Netherlands,52.32325379,4.971602828,Apartment,Private room,3,1,1,1,Real Bed,100,,,100,25,2,25,1,1125,108,0.24,Zuidoost,Southeast Amsterdam,83743,1,2015-05-03,2015-05-03,80,8,6,10,10,8,6,0.48,false
2508498,https://www.airbnb.com/rooms/2508498,Comfortable  room for 1 or 2 people,12839939,"Geerdinkhofweg, Amsterdam-Zuidoost, North Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103,Netherlands,52.3258179,4.98084748,Bed & Breakfast,Private room,2,1.5,1,2,Real Bed,60,400,1100,100,20,1,10,1,1125,245,0.36,Zuidoost,Southeast Amsterdam,83743,6,2014-04-22,2015-08-18,83,10,10,9,8,8,8,0.72,true
6908304,https://www.airbnb.com/rooms/6908304,Lockable room with free parking,15770150,"Kantershof, Amsterdam Zuid-Oost, Noord-Holland 1104, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1104,Netherlands,52.32224065,4.986591613,House,Private room,2,1.5,1,2,Real Bed,40,260,,100,20,1,20,3,1125,339,1.34,Zuidoost,Southeast Amsterdam,83743,3,2015-06-30,2015-08-04,80,9,9,8,9,7,8,2.68,true
3838786,https://www.airbnb.com/rooms/3838786,Relaxing room + Wi-Fi,19765075,"Harrit Freezerstraat, Amsterdam-Zuidoost, North Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103,Netherlands,52.32411338,4.972732719,Apartment,Private room,3,1,1,1,Real Bed,50,,,100,20,2,25,1,1125,358,0.55,Zuidoost,Southeast Amsterdam,83743,7,2014-08-18,2015-08-07,60,7,6,7,8,5,5,1.1,true
4402514,https://www.airbnb.com/rooms/4402514,"12,5m2 privet room in a nice flat",22670971,"Grubbehoeve, Amsterdam-Zuidoost, North Holland 1103 GZ, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103 GZ,Netherlands,52.32075381,4.975741187,Apartment,Private room,1,1,1,1,Real Bed,35,,,,,1,0,4,60,305,0.61,Zuidoost,Southeast Amsterdam,83743,6,2014-11-11,2015-08-18,92,10,10,10,9,8,10,1.22,true
7706472,https://www.airbnb.com/rooms/7706472,Spacious With A Beautiful View,38310525,"Grubbehoeve, Amsterdam Zuid-Oost, Noord-Holland 1103 GZ, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103 GZ,Netherlands,52.32178256,4.978351405,Apartment,Entire home/apt,6,1,2,3,Real Bed,119,709,,149,39,4,10,1,1125,311,4,Zuidoost,Southeast Amsterdam,83743,4,2015-08-13,2015-08-28,90,10,10,10,10,9,10,8,true
7046849,https://www.airbnb.com/rooms/7046849,Lovely room in South East Amsterdam,36953379,"Clara Zetkinstraat, Amsterdam Zuid-Oost, NH 1103 DH, Netherlands",Bijlmer-Oost,Amsterdam,NH,1103 DH,Netherlands,52.32231416,4.961593513,House,Private room,2,1,1,1,Real Bed,45,,,,,1,0,1,1125,245,1.43,Zuidoost,Southeast Amsterdam,83743,3,2015-07-03,2015-08-19,100,10,8,10,10,8,9,2.86,true
6686932,https://www.airbnb.com/rooms/6686932,2/3/4 PERS ROOM AMSTERDAM ZUID-OOST,34999599,"Kikkenstein, Amsterdam Zuid-Oost, Noord-Holland 1104 TW, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1104 TW,Netherlands,52.31909761,4.972880665,Apartment,Private room,4,1,1,3,Real Bed,65,450,1250,,15,2,10,5,60,332,1.22,Zuidoost,Southeast Amsterdam,83743,2,2015-07-17,2015-08-05,50,7,5,5,7,2,3,2.44,true
2942229,https://www.airbnb.com/rooms/2942229,An stylish room in a green area,1271678,"Groenhoven, Amsterdam-Zuidoost, North Holland 1103 LH, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103 LH,Netherlands,52.32454814,4.975968403,Apartment,Private room,2,1,1,2,Real Bed,49,,,100,20,1,0,2,60,301,5.16,Zuidoost,Southeast Amsterdam,83743,83,2014-05-10,2015-08-24,93,10,10,10,10,8,9,10.32,true
3837203,https://www.airbnb.com/rooms/3837203,Spacious room + Wi-Fi,19765075,"Harrit Freezerstraat, Amsterdam-Zuidoost, North Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103,Netherlands,52.32370693,4.971764678,Apartment,Private room,5,1,1,2,Real Bed,100,,,100,30,4,25,1,1125,365,0.39,Zuidoost,Southeast Amsterdam,83743,4,2014-11-02,2015-07-19,45,5,6,7,8,6,5,0.78,true
2630307,https://www.airbnb.com/rooms/2630307," Mooie ruime  appartement ",13473450,"Efua Sutherlandstraat, Amsterdam-Zuidoost, North Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103,Netherlands,52.3221052,4.966408805,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,,,200,60,1,50,4,1125,365,0.55,Zuidoost,Southeast Amsterdam,83743,9,2014-05-02,2015-06-01,100,9,9,10,10,8,9,1.1,true
6060038,https://www.airbnb.com/rooms/6060038,Comfortable Room + Wi-Fi,19765075,"Harrit Freezerstraat, Amsterdam Zuid-Oost, Noord-Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103,Netherlands,52.32244486,4.971735014,Apartment,Private room,6,1,1,3,Real Bed,125,,,150,30,5,25,1,1125,112,0.24,Zuidoost,Southeast Amsterdam,83743,1,2015-05-04,2015-05-04,100,10,10,10,10,10,10,0.48,false
3905287,https://www.airbnb.com/rooms/3905287,Bed&Breakfast Thea/free parking,16567328,"A.A. de Lannoy-Willemsstraat, Amsterdam-Zuidoost, North Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103,Netherlands,52.31978425,4.962587247,Bed & Breakfast,Private room,2,2,1,1,Real Bed,62,,,100,8,1,10,1,1125,338,3.12,Zuidoost,Southeast Amsterdam,83743,39,2014-08-25,2015-08-17,85,9,9,9,9,8,9,6.24,true
2784149,https://www.airbnb.com/rooms/2784149,Lovely room with free parking,12839939,"Geerdinkhof, Amsterdam Zuid-Oost, Noord-Holland 1103, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103,Netherlands,52.32547346,4.982230097,House,Private room,2,1.5,1,1,Real Bed,70,,,,15,1,10,1,1125,331,0.36,Zuidoost,Southeast Amsterdam,83743,6,2014-04-22,2015-04-28,80,8,8,8,9,7,8,0.72,true
7303805,https://www.airbnb.com/rooms/7303805,Cozy room in the SE of Amsterdam,23023786,"Clara Zetkinstraat, Amsterdam Zuid-Oost, Noord-Holland 1103 DH, Netherlands",Bijlmer-Oost,Amsterdam,Noord-Holland,1103 DH,Netherlands,52.32211295,4.962641105,House,Private room,2,1,1,1,Real Bed,45,280,,,,1,0,1,1125,27,3.26,Zuidoost,Southeast Amsterdam,83743,5,2015-07-21,2015-08-18,80,8,5,10,9,8,9,6.52,false
5362748,https://www.airbnb.com/rooms/5362748,Great room south of Amsterdam!,27800005,"Clara Zetkinstraat, Amsterdam-Zuidoost, North Holland 1103 DH, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1103 DH,Netherlands,52.32263415,4.960662733,House,Private room,2,1,1,1,Real Bed,42,,,,,1,0,1,1125,243,2.94,Zuidoost,Southeast Amsterdam,83743,5,2015-07-16,2015-08-17,72,9,6,9,10,9,8,5.88,false
3719167,https://www.airbnb.com/rooms/3719167,Big room in Adam,18991270,"Komijnstraat, Amsterdam-Zuidoost, North Holland 1104, Netherlands",Bijlmer-Oost,Amsterdam,North Holland,1104,Netherlands,52.31671072,4.986617637,House,Private room,2,1,1,1,Real Bed,59,350,995,150,20,2,20,5,1125,338,0.55,Zuidoost,Southeast Amsterdam,83743,7,2014-08-17,2015-08-15,89,9,9,10,10,7,9,1.1,true
7241009,https://www.airbnb.com/rooms/7241009,Family House nearby city centre,2802365,"G.J. Scheurleerweg, Amsterdam, Noord-Holland 1034, Netherlands",Noord-Oost,Amsterdam,Noord-Holland,1034,Netherlands,52.40774818,4.933144006,House,Entire home/apt,4,1,3,4,Real Bed,180,,,350,50,1,0,5,1125,285,,Noord,North Amsterdam,88196,0,,,,,,,,,,,true
